DATE,ImageDataName,Epoch,Test_size,Origin,lr,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Dense,Dropout,TrainingAcc,TestingAcc,AllDataAcc,Predict_dataset1_first,Predict_dataset2_first,Predict_dataset2_first,Predict_dataset1_last,Predict_dataset2_last,Predict_dataset3_last,Predict_dataset1_final,Predict_dataset2_final,Predict_dataset3_final
2020.04.02.03.31,origin,1000,0.1,1800,0.0001,"16(3,3)","8(5,5)","(2,2)","4(7,7)","8(3,3)","(2,2)","8(5,5)","8(7,7)","(2,2)",512,0.4,1,0.983,0.998,0.998,0.517,0.271,0.998,0.517,0.271,0.998,0.517,0.271
2020.04.02.03.31,OandRST,1000,0.1,34200,0.0001,"16(3,3)","8(5,5)","(2,2)","4(7,7)","8(3,3)","(2,2)","8(5,5)","8(7,7)","(2,2)",512,0.4,1,0.983,0.998,0.998,0.517,0.271,0.998,0.517,0.271,0.998,0.517,0.271
2020.04.02.03.32,OandRSTandN,1000,0.1,45000,0.0001,"16(3,3)","8(5,5)","(2,2)","4(7,7)","8(3,3)","(2,2)","8(5,5)","8(7,7)","(2,2)",512,0.4,1,0.983,0.998,0.998,0.517,0.271,0.998,0.517,0.271,0.998,0.517,0.271
2020.04.02.03.33,OandRSTandNandMix,1000,0.7,55800,0.0001,"16(3,3)","8(5,5)","(2,2)","4(7,7)","8(3,3)","(2,2)","8(5,5)","8(7,7)","(2,2)",512,0.4,1,0.983,0.998,0.998,0.517,0.271,0.998,0.517,0.271,0.998,0.517,0.271
2020.04.02.03.34,OandRSTandNandMix,1000,0.8,55800,0.0001,"16(3,3)","8(5,5)","(2,2)","4(7,7)","8(3,3)","(2,2)","8(5,5)","8(7,7)","(2,2)",512,0.4,1,0.983,0.998,0.998,0.517,0.271,0.998,0.517,0.271,0.998,0.517,0.271
2020.04.02.03.35,OandRSTandNandMix,1000,0.9,55800,0.0001,"16(3,3)","8(5,5)","(2,2)","4(7,7)","8(3,3)","(2,2)","8(5,5)","8(7,7)","(2,2)",512,0.4,1,0.983,0.998,0.998,0.517,0.271,0.998,0.517,0.271,0.998,0.517,0.271
